Date,Price,Market_cap,Volume
2023-07-21 00:00:00 UTC,1.260957682,1608027346,219569750.6
2023-07-22 00:00:00 UTC,1.234677821,1574255989,173602142.3
2023-07-23 00:00:00 UTC,1.221611222,1556411391,85460227.46
2023-07-24 00:00:00 UTC,1.250784383,1594803083,115531669.2
2023-07-25 00:00:00 UTC,1.187859189,1513727491,163181159.2
2023-07-26 00:00:00 UTC,1.168490288,1488751338,102826389.1
2023-07-27 00:00:00 UTC,1.198670747,1527507842,133661502.6
2023-07-28 00:00:00 UTC,1.17135094,1493485734,85235214.58
2023-07-29 00:00:00 UTC,1.174456392,1497663085,72067303.36
2023-07-30 00:00:00 UTC,1.182533115,1508057685,37373793.86
2023-07-31 00:00:00 UTC,1.159626831,1478217376,85221248.58
2023-08-01 00:00:00 UTC,1.170569906,1492314260,119562773.7
2023-08-02 00:00:00 UTC,1.159331339,1476377724,124390338.1
2023-08-03 00:00:00 UTC,1.131666706,1443516957,117110964.1
2023-08-04 00:00:00 UTC,1.129751352,1442539941,110477718.8
2023-08-05 00:00:00 UTC,1.156755411,1473580697,113658366.4
2023-08-06 00:00:00 UTC,1.136023354,1448155484,102464518.8
2023-08-07 00:00:00 UTC,1.135179388,1446480865,104852335.2
2023-08-08 00:00:00 UTC,1.132232886,1442938311,150824649.8
2023-08-09 00:00:00 UTC,1.160203198,1479386279,159369922.1
2023-08-10 00:00:00 UTC,1.175892402,1499959533,204692414.7
2023-08-11 00:00:00 UTC,1.15886625,1477298094,152766530.9
2023-08-12 00:00:00 UTC,1.157507418,1475848297,106429261.7
2023-08-13 00:00:00 UTC,1.162307775,1481347947,88752643.8
2023-08-14 00:00:00 UTC,1.140613583,1454262862,97178337.44
2023-08-15 00:00:00 UTC,1.140783398,1455523997,110715160.2
2023-08-16 00:00:00 UTC,1.131018993,1440366770,151247161.5
2023-08-17 00:00:00 UTC,1.048850849,1335248416,209064324.3
2023-08-18 00:00:00 UTC,0.982499027,1251697573,279953397.1
2023-08-19 00:00:00 UTC,1.00682411,1282281342,184252791.9
2023-08-20 00:00:00 UTC,1.02058542,1300722913,114151530.9
2023-08-21 00:00:00 UTC,1.028088476,1311023690,129774698.8
2023-08-22 00:00:00 UTC,0.996373715,1270883599,145058069.6
2023-08-23 00:00:00 UTC,0.981326014,1250350431,164724074.1
2023-08-24 00:00:00 UTC,1.008678675,1284761950,150162982.4
2023-08-25 00:00:00 UTC,0.979831711,1248225312,126176741.2
2023-08-26 00:00:00 UTC,0.949192916,1209006807,141806113.8
2023-08-27 00:00:00 UTC,0.950504121,1210991065,92844868.02
2023-08-28 00:00:00 UTC,0.958703959,1221070817,95730541.82
2023-08-29 00:00:00 UTC,0.949128188,1209433800,105508329.7
2023-08-30 00:00:00 UTC,0.970020059,1233421923,167100848.7
2023-08-31 00:00:00 UTC,0.943451699,1204229773,130081967.8
2023-09-01 00:00:00 UTC,0.915747073,1166792090,162355317.3
2023-09-02 00:00:00 UTC,0.884789053,1128683250,143219362.6
2023-09-03 00:00:00 UTC,0.887598274,1132031223,89785073.19
2023-09-04 00:00:00 UTC,0.905059726,1155513329,84981319.64
2023-09-05 00:00:00 UTC,0.896567723,1139977060,100333003.3
2023-09-06 00:00:00 UTC,0.9009065,1147808798,79915703.31
2023-09-07 00:00:00 UTC,0.900966668,1148029660,93801842.24
2023-09-08 00:00:00 UTC,0.910858048,1160615084,79658103.92
2023-09-09 00:00:00 UTC,0.902114731,1150027589,89666421.18
2023-09-10 00:00:00 UTC,0.89778128,1144774207,48516423.34
2023-09-11 00:00:00 UTC,0.84403819,1076354334,138933506.4
2023-09-12 00:00:00 UTC,0.760432112,969143161.2,249113113.7
2023-09-13 00:00:00 UTC,0.784972442,1001155796,183581674.4
2023-09-14 00:00:00 UTC,0.786622843,1003378085,153917744
2023-09-15 00:00:00 UTC,0.803735315,1025030413,111299222.3
2023-09-16 00:00:00 UTC,0.808252281,1027325179,91596667.07
2023-09-17 00:00:00 UTC,0.827152704,1053972095,108347072
2023-09-18 00:00:00 UTC,0.794920573,1012416013,84724116.76
2023-09-19 00:00:00 UTC,0.822672038,1050150426,146224350.8
2023-09-20 00:00:00 UTC,0.862898822,1097021832,137238456.2
2023-09-21 00:00:00 UTC,0.859141412,1095785531,135988761.9
2023-09-22 00:00:00 UTC,0.822460947,1049120590,122534790.1
2023-09-23 00:00:00 UTC,0.8407982,1073423258,62796792.38
2023-09-24 00:00:00 UTC,0.819867438,1044865192,46850386.14
2023-09-25 00:00:00 UTC,0.806300999,1028049548,48788777.95
2023-09-26 00:00:00 UTC,0.80540122,1025046053,71737700.29
2023-09-27 00:00:00 UTC,0.82419238,1051716316,71328425.87
2023-09-28 00:00:00 UTC,0.817487645,1042604193,69579697.71
2023-09-29 00:00:00 UTC,0.890055891,1134416061,136503874.3
2023-09-30 00:00:00 UTC,0.903486992,1152479574,163380685.4
2023-10-01 00:00:00 UTC,0.907478137,1157786470,107519453.4
2023-10-02 00:00:00 UTC,0.971093805,1237612292,172439805.1
2023-10-03 00:00:00 UTC,0.933564855,1190374725,203859774.7
2023-10-04 00:00:00 UTC,0.906137514,1156068371,159263620
2023-10-05 00:00:00 UTC,0.884610298,1128311131,154405830
2023-10-06 00:00:00 UTC,0.858992332,1095199006,112046615
2023-10-07 00:00:00 UTC,0.890103144,1134569108,107378602.6
2023-10-08 00:00:00 UTC,0.868630752,1107091110,70662353.61
2023-10-09 00:00:00 UTC,0.847774933,1080744496,77107700.32
2023-10-10 00:00:00 UTC,0.819805057,1046112695,118387193.6
2023-10-11 00:00:00 UTC,0.824729733,1053866577,72646358.83
2023-10-12 00:00:00 UTC,0.81431713,1038592778,88812433.27
2023-10-13 00:00:00 UTC,0.802585516,1023295771,118386766.2
2023-10-14 00:00:00 UTC,0.806723746,1028446853,104672393.3
2023-10-15 00:00:00 UTC,0.8037222,1024283072,47983331.95
2023-10-16 00:00:00 UTC,0.80337661,1024225121,55649927.32
2023-10-17 00:00:00 UTC,0.82160723,1047998556,154787450.3
2023-10-18 00:00:00 UTC,0.784588523,1000373224,107210699.6
2023-10-19 00:00:00 UTC,0.782823553,999118353.6,82697849.39
2023-10-20 00:00:00 UTC,0.769095442,978607959,90660883.27
2023-10-21 00:00:00 UTC,0.80003702,1021116704,138146013.5
2023-10-22 00:00:00 UTC,0.831804475,1059279567,127133220.3
2023-10-23 00:00:00 UTC,0.851814705,1063246689,147128500.9
2023-10-24 00:00:00 UTC,0.880940983,1113628343,268170314.1
2023-10-25 00:00:00 UTC,0.899882424,1146017679,369366174.9
2023-10-26 00:00:00 UTC,0.922045292,1170102050,252030496.6
2023-10-27 00:00:00 UTC,0.937801222,1200204541,436295546
2023-10-28 00:00:00 UTC,0.916807506,1168306494,214912877.3
2023-10-29 00:00:00 UTC,0.918451428,1171606409,120614824.1
2023-10-30 00:00:00 UTC,0.946489183,1206193063,158950392
2023-10-31 00:00:00 UTC,0.965473381,1229377411,224728432.4
2023-11-01 00:00:00 UTC,0.945973607,1202876329,298671738
2023-11-02 00:00:00 UTC,1.037258392,1320205150,447301883.7
2023-11-03 00:00:00 UTC,0.991086928,1264314149,370776576.2
2023-11-04 00:00:00 UTC,1.062315098,1356016941,447347852.9
2023-11-05 00:00:00 UTC,1.094236413,1398185600,344775143.7
2023-11-06 00:00:00 UTC,1.092909688,1398390182,308495918.3
2023-11-07 00:00:00 UTC,1.123020221,1430212192,351467113.1
2023-11-08 00:00:00 UTC,1.082886084,1379746397,349705735.9
2023-11-09 00:00:00 UTC,1.09632169,1396102121,315899696.8
2023-11-10 00:00:00 UTC,1.212130255,1536330663,795080348.8
2023-11-11 00:00:00 UTC,1.176134882,1498620027,507669143.1
2023-11-12 00:00:00 UTC,1.137440713,1440494730,406623760.1
2023-11-13 00:00:00 UTC,1.155094514,1472618608,399257614.4
2023-11-14 00:00:00 UTC,1.123009407,1431595616,531037745.8
2023-11-15 00:00:00 UTC,1.077317296,1373857599,375842483.1
2023-11-16 00:00:00 UTC,1.143908349,1456582780,324027869.6
2023-11-17 00:00:00 UTC,1.078996728,1373144648,503623482.8
2023-11-18 00:00:00 UTC,1.039520244,1327001147,387073111.2
2023-11-19 00:00:00 UTC,1.031499804,1315964065,253088674.7
2023-11-20 00:00:00 UTC,1.047798463,1337003010,245754992.3
2023-11-21 00:00:00 UTC,1.027434732,1310796691,271440727.7
